label,intensity,symmetry
1,65.29019607843138,110.72941176470587
1,52.64705882352941,16.588235294117645
0,90.43529411764706,103.54509803921569
7,67.26274509803922,89.86666666666667
3,95.24705882352941,120.98823529411766
3,123.80392156862744,125.37254901960785
8,167.05490196078432,181.43529411764706
9,102.03529411764706,122.41568627450981
1,48.411764705882355,46.84705882352941
3,140.0392156862745,176.50196078431372
3,133.25882352941176,139.70196078431374
0,130.26666666666668,181.75686274509803
7,52.745098039215684,70.19607843137256
6,105.14117647058823,147.6156862745098
2,112.8313725490196,104.35294117647058
2,105.55294117647058,126.8235294117647
3,105.08627450980393,128.06274509803922
6,107.68627450980392,111.33333333333333
9,110.52156862745097,90.86274509803923
9,106.01176470588236,103.62352941176471
1,46.85490196078431,53.192156862745094
3,91.31764705882352,100.80784313725489
4,83.7843137254902,103.84313725490196
9,83.70196078431373,99.49019607843138
1,60.101960784313725,32.07843137254902
4,98.90980392156862,108.7607843137255
4,116.05098039215686,143.89019607843136
2,88.34117647058824,97.01176470588234
6,101.17647058823529,110.18039215686275
3,72.32941176470588,85.80392156862746
7,81.23137254901961,114.14117647058823
4,121.6,128.8470588235294
1,49.86274509803921,46.713725490196076
9,102.40392156862745,128.2980392156863
0,145.43529411764706,148.57254901960783
2,45.77647058823529,66.84705882352941
2,87.39607843137254,118.60392156862744
3,120.78039215686275,138.21960784313725
9,88.70588235294117,101.9607843137255
1,84.53725490196078,101.50588235294117
5,122.30588235294118,138.76862745098038
3,82.09411764705882,70.22745098039215
4,104.48235294117647,128.50196078431372
8,159.61176470588236,197.6392156862745
0,63.97254901960784,80.88627450980391
9,62.16470588235294,61.090196078431376
6,146.13725490196077,148.60392156862747
2,171.8235294117647,135.2705882352941
6,101.61176470588235,98.61960784313726
7,98.91764705882353,84.29803921568629
1,63.51764705882353,89.51372549019608
8,101.1686274509804,137.5607843137255
2,72.37254901960785,94.14117647058825
9,57.431372549019606,75.89803921568627
9,94.44313725490196,99.41960784313724
8,71.97647058823529,97.50588235294117
9,77.68627450980392,91.32549019607842
3,92.05882352941177,131.34901960784316
4,52.07058823529412,68.7843137254902
6,64.90196078431373,68.92549019607844
2,98.99215686274509,102.58823529411765
1,44.70196078431373,69.27058823529413
2,144.27843137254902,136.59607843137255
0,128.06666666666666,197.05882352941177
5,174.42745098039217,186.3764705882353
2,121.70196078431373,163.76470588235293
8,118.52549019607844,171.1058823529412
8,87.92941176470588,114.3921568627451
5,100.54509803921569,104.21960784313725
0,166.45490196078433,89.24705882352941
0,225.98039215686273,82.61960784313726
2,90.52156862745097,100.86274509803921
9,74.3529411764706,113.33333333333333
0,115.64313725490196,167.42745098039217
4,96.73725490196078,112.13333333333333
7,112.77254901960784,125.28627450980392
5,91.64313725490196,101.34901960784313
4,98.82745098039216,104.86274509803923
6,82.6470588235294,112.8078431372549
1,86.3921568627451,141.01960784313724
5,97.87843137254902,121.03529411764706
7,77.56078431372549,79.5764705882353
5,103.55686274509804,134.3372549019608
0,108.95686274509804,155.94509803921568
8,134.58039215686276,166.7686274509804
7,149.04313725490195,135.5137254901961
1,78.45098039215686,119.9843137254902
8,63.95294117647059,92.49411764705883
7,73.85098039215686,105.90588235294118
3,76.25098039215686,100.87843137254902
3,75.41568627450981,85.74117647058824
1,71.62352941176471,41.168627450980395
0,188.4392156862745,171.12156862745098
4,76.89803921568627,117.80392156862746
5,57.43921568627451,90.88627450980391
4,73.88627450980393,111.10588235294117
0,118.5764705882353,137.1137254901961
5,146.68235294117648,150.0313725490196
3,79.31372549019608,89.41176470588235
5,106.3921568627451,159.38823529411764
1,80.65490196078431,111.16078431372549
0,97.71372549019608,116.06274509803922
8,82.31764705882352,118.8313725490196
3,137.48627450980393,134.94901960784313
